Rental_Location_ID,bus_stop,park,school,subway,riverside
ST-816,28,0,3,0,0
ST-784,6,0,1,0,1
ST-1561,9,0,0,0,0
ST-961,18,1,1,0,0
ST-809,10,1,5,0,0
ST-966,15,1,2,0,0
ST-1562,12,1,2,0,0
ST-2684,16,4,0,0,0
ST-817,14,5,2,0,0
ST-814,15,9,1,0,0
ST-962,13,1,1,1,0
ST-811,9,1,1,1,0
ST-812,13,1,2,1,0
ST-3115,15,1,0,1,0
ST-1896,10,2,0,1,0
ST-1246,14,3,0,1,0
ST-3164,9,3,3,1,0
ST-2682,13,3,1,1,1
ST-959,14,3,0,1,0
ST-789,15,4,1,1,0
ST-953,10,4,2,1,1
ST-960,17,10,3,1,0
ST-1366,15,2,1,2,0
ST-2882,15,2,1,2,0
ST-1568,16,3,1,2,0
ST-963,13,4,0,2,0
ST-786,11,4,3,2,0
ST-3108,18,4,1,3,0
ST-3208,7,5,1,3,0
ST-1883,14,0,0,4,0
ST-1577,30,2,0,2,0
